url
google.com
mail.ru
microsoft.com
facebook.com
apple.com
amazonaws.com
dzen.ru
youtube.com
googleapis.com
cloudflare.com
akamai.net
instagram.com
twitter.com
gstatic.com
akamaiedge.net
office.com
azure.com
linkedin.com
live.com
googlevideo.com
akadns.net
ax-msedge.net
googletagmanager.com
fbcdn.net
windowsupdate.com
amazon.com
apple-dns.net
workers.dev
wikipedia.org
microsoftonline.com
office.net
t-msedge.net
trafficmanager.net
github.com
